repo,pr_number,titulo,descricao,categoria
commons-io,530,[IO-826] Add runtime exception support to broken streams,"https://issues.apache.org/jira/browse/IO-826
As discussed in #528.
One point to note: Is there a reason to keep the deprecated constructors such as BrokenInputStream(final IOException exception)?  Given that the new constructors such as BrokenInputStream(final Throwable exception) accept a superclass of IOException, it seems the old constructor could be removed without a breaking change.",REQ
accumulo,3785,fixes multiple tests in ShellServerIT,Multiple tests in ShellServerIT only ran when their table id was 1 or 2. This commit updates the test to run with any table id.,BUG
helix,2107,Add TTL and Container modes to BaseDataAccessor and its implementations,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fixes #2081
Description

 Here are some details about my PR, including screenshots of any UI changes:

This PR adds support for TTL and Container modes to BaseDataAccessor and its implementations by taking advantage of relevant API from ZkClient and its descendent classes.
Tests

 The following tests are written for this issue:

Two tests (testSyncCreateWithTTL() and testSyncCreateContainer()) were added to TestZkBaseDataAccessor. In addition, testAsyncZkBaseDataAccessor() in the same class was modified to test the newly added API.

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REQ
struts,532,Basic LocalDateTime support,"Add support for LocalDateTime for the LocalDateTime.now() variant. DateTimeFormatter.ISO_LOCAL_DATE_TIME.
See WW-5175",REQ
accumulo,3729,Allow configurable name allocations,Update the UniqueNameAllocator to support a configurable filename range size. The default values match what was previously there so there is no behavior change unless you override the properties.,REF
accumulo,3150,Modified ScanServer to correctly handle tablet failures,"The ScanServer was throwing a NotServingTabletException in both the scan and batch scan cases when there was a failure in loading the tablet. Modified the batch scan case to return the failed tablets in the response instead of throwing the exception.
Closes #3144",BUG
accumulo,2186,Refactor common table property validation to reduce duplication,"Move duplcated code for table property validation to one place
Minor check-style fixes.
fix possible nulll pointer warning (FateServiceHandler)",REF
accumulo,3437,moves hosting request processing from tserver to manager,"Processing of hosting request was moved from the tserver to manager so that the tablet group watcher could be notified.  This considerably reduces the delay in getting an ondemand tablet hosted.
Introduced a cache to avoid reprocessing hosting request for the same tablet in a short time period.
Modified the update of the hosting request column to use a conditional mutation.  This avoids a metadata read before write (the read is now done by the mutation conditions) and avoids race conditions.
Moving the hosting request to the manager could introduce scaling problems, however the cache can help with this. The reduced latency for hosting ondemand tablet is needed, so if there are scaling problems a solution will need to be found that has low latency for hosting.",REF
accumulo,2129,Mark external compaction props as experimental,,REF
accumulo,2369,Fix incorrect scan range output in getsplits command,"In the Accumulo shell, calling getsplits with the verbose option can result in incorret output. It occurs when the tableId of the table
happens to be a single character and there are other tables where the tableId starts with the same character. This results in the output of getsplits displaying splits for the other tables as well.
Closes #2356",BUG
